Orden,Insert,Time,G_size,Height,M_ratio,Radius_Ext
194,G,40,AB,10,50,18.267
195,J,20,AB,80,75,22.413
196,D,30,A,50,50,14.948
197,D,40,A,80,50,17.827
198,G,40,AB,80,50,34.329
199,D,40,A,50,50,17.938
200,D,0,A,10,50,11.075
201,D,30,A,10,50,11.075
202,G,30,AB,50,50,25.877
203,J,30,AB,80,75,28.099
204,J,20,AB,10,75,11.738
205,G,30,AB,10,50,16.701
206,A,0,B,50,50,7.118
207,A,20,B,10,50,18.554
208,J,0,AB,50,75,11.072
209,J,40,AB,50,75,24.334
210,J,40,AB,80,75,30.826
211,J,0,AB,10,75,12.203
212,A,40,B,10,50,24.201
213,G,20,AB,10,50,15.152
214,D,30,A,80,50,17.577
215,D,40,A,10,50,14.227
216,D,30,A,10,50,10.706
217,J,30,AB,50,75,21.460
218,A,40,B,50,50,30.359
219,A,0,B,50,50,11.526
220,A,40,B,10,50,22.969
221,G,20,AB,10,50,15.676
222,J,20,AB,80,75,21.041
223,A,40,B,50,50,30.001
224,D,30,A,50,50,16.491
225,D,0,A,80,50,10.706
226,G,20,AB,10,50,14.911
227,J,20,AB,50,75,18.281
228,D,0,A,10,50,10.706
229,A,30,B,50,50,29.228
230,J,20,AB,80,75,18.980
231,J,30,AB,10,75,13.582
232,A,0,B,50,50,7.816
233,G,30,AB,80,50,32.899
234,J,20,AB,10,75,11.404
235,A,0,B,80,50,7.816
236,D,0,A,50,50,10.706
237,A,20,B,10,50,20.048
238,G,0,AB,50,50,8.701
239,G,20,AB,50,50,19.326
240,D,40,A,50,50,16.204
241,A,40,B,80,50,46.960
242,A,20,B,10,50,18.027
243,D,20,A,80,50,14.973
244,A,30,B,50,50,29.566
245,J,0,AB,80,75,12.203
246,J,0,AB,50,75,12.203
247,J,20,AB,10,75,12.687
248,D,40,A,80,50,18.544
249,J,40,AB,50,75,23.573
250,D,20,A,10,50,10.410
251,A,0,B,10,50,7.816
252,G,40,AB,10,50,17.124
253,F,0,A,5,75,6.564
254,F,0,A,40,75,6.564
255,F,0,A,70,75,6.564
256,C,0,B,5,75,6.416
257,C,0,B,40,75,6.416
258,C,0,B,70,75,6.416
259,F,20,A,5,75,8.412
260,F,20,A,40,75,8.719
261,F,20,A,70,75,16.222
262,C,20,B,5,75,15.620
263,C,20,B,40,75,21.489
264,C,20,B,70,75,29.561
265,F,30,A,5,75,10.083
266,F,30,A,40,75,10.209
267,F,30,A,70,75,16.621
268,C,30,B,5,75,18.973
269,C,30,B,40,75,20.641
270,C,30,B,70,75,31.738
271,F,40,A,5,75,10.528
272,F,40,A,40,75,11.402
273,F,40,A,70,75,16.535
274,C,40,B,5,75,18.189
275,C,40,B,40,75,23.509
276,C,40,B,70,75,36.263
277,F,0,A,5,75,7.071
278,F,0,A,40,75,7.071
279,F,0,A,70,75,7.071
280,C,0,B,5,75,11.177
281,C,0,B,40,75,11.177
282,C,0,B,70,75,11.177
283,F,20,A,5,75,8.287
284,F,20,A,40,75,9.264
285,F,20,A,70,75,17.096
286,C,20,B,5,75,15.797
287,C,20,B,40,75,21.356
288,C,20,B,70,75,29.544
289,F,30,A,5,75,9.146
290,F,30,A,40,75,11.473
291,F,30,A,70,75,17.503
292,C,30,B,5,75,18.229
293,C,30,B,40,75,22.421
294,C,30,B,70,75,30.821
295,F,40,A,5,75,9.928
296,F,40,A,40,75,12.254
297,F,40,A,70,75,18.678
298,C,40,B,5,75,18.527
299,C,40,B,40,75,23.557
300,C,40,B,70,75,34.258
301,F,0,A,5,75,11.020
302,F,0,A,40,75,11.020
303,F,0,A,70,75,11.020
304,C,0,B,5,75,7.445
305,C,0,B,40,75,7.445
306,C,0,B,70,75,7.445
307,F,20,A,5,75,8.624
308,F,20,A,40,75,11.155
309,F,20,A,70,75,15.278
310,C,20,B,5,75,15.653
311,C,20,B,40,75,19.297
312,C,20,B,70,75,30.531
313,F,30,A,5,75,9.261
314,F,30,A,40,75,11.587
315,F,30,A,70,75,15.900
316,C,30,B,5,75,17.443
317,C,30,B,40,75,27.244
318,C,30,B,70,75,29.077
319,F,40,A,5,75,9.650
320,F,40,A,40,75,11.270
321,F,40,A,70,75,17.660
322,C,40,B,5,75,17.735
323,C,40,B,40,75,25.923
324,C,40,B,70,75,32.257
