E,0,A,60,66,10.280,11.472
E,0,A,90,66,10.280,11.472
E,0,A,120,66,10.280,11.472
B,0,B,60,66,12.865,10.034
B,0,B,90,66,12.865,10.034
B,0,B,120,66,12.865,10.034
H,0,AB,60,66,7.372,6.859
H,0,AB,90,66,7.372,6.859
H,0,AB,120,66,7.372,6.859
E,20,A,60,66,14.702,12.261
E,20,A,90,66,17.921,14.141
E,20,A,120,66,21.050,20.604
B,20,B,60,66,29.085,23.560
B,20,B,90,66,41.472,30.021
B,20,B,120,66,41.471,43.135
H,20,AB,60,66,18.222,14.488
H,20,AB,90,66,28.507,24.406
H,20,AB,120,66,31.779,34.317
E,30,A,60,66,13.926,13.166
E,30,A,90,66,18.512,16.801
E,30,A,120,66,20.430,25.056
B,30,B,60,66,31.386,24.800
B,30,B,90,66,46.780,33.678
B,30,B,120,66,48.928,53.756
H,30,AB,60,66,23.785,16.734
H,30,AB,90,66,35.381,29.631
H,30,AB,120,66,39.946,37.399
E,40,A,60,66,13.724,13.450
E,40,A,90,66,23.453,18.409
E,40,A,120,66,26.712,25.091
B,40,B,60,66,36.292,26.729
B,40,B,90,66,44.917,38.244
B,40,B,120,66,57.818,49.912
H,40,AB,60,66,22.198,19.365
H,40,AB,90,66,38.745,29.643
H,40,AB,120,66,40.642,36.639
E,0,A,60,66,9.916,8.312
E,0,A,90,66,9.916,8.312
E,0,A,120,66,9.916,8.312
B,0,B,60,66,6.171,5.288
B,0,B,90,66,6.171,5.288
B,0,B,120,66,6.171,5.288
H,0,AB,60,66,12.519,10.874
H,0,AB,90,66,12.519,10.874
H,0,AB,120,66,12.519,10.874
E,20,A,60,66,13.073,12.342
E,20,A,90,66,18.339,13.260
E,20,A,120,66,19.953,19.043
B,20,B,60,66,29.283,23.901
B,20,B,90,66,38.717,31.794
B,20,B,120,66,44.650,39.237
H,20,AB,60,66,17.774,16.171
H,20,AB,90,66,28.877,22.630
H,20,AB,120,66,33.975,30.061
E,30,A,60,66,12.501,12.602
E,30,A,90,66,20.271,18.217
E,30,A,120,66,25.258,23.358
B,30,B,60,66,30.421,24.865
B,30,B,90,66,45.150,33.924
B,30,B,120,66,58.386,49.055
H,30,AB,60,66,21.064,18.362
H,30,AB,90,66,34.424,25.287
H,30,AB,120,66,38.578,37.300
E,40,A,60,66,15.142,13.180
E,40,A,90,66,20.614,19.803
E,40,A,120,66,28.479,24.370
B,40,B,60,66,34.630,26.811
B,40,B,90,66,49.508,36.024
B,40,B,120,66,56.444,52.384
H,40,AB,60,66,25.078,19.225
H,40,AB,90,66,37.318,31.279
H,40,AB,120,66,45.235,37.225
E,0,A,60,66,10.502,8.691
E,0,A,90,66,10.502,8.691
E,0,A,120,66,10.502,8.691
B,0,B,60,66,10.213,9.156
